codigo,nombre,type,university_code,credits
102EU,QUÍMICA GENERAL I,,FQ,7
1033,METODOS NUMERICOS,course,FING,8
103EU,INT. A LAS C. BIOLÓGICAS I,,FQ,5
1063,CALCULO VECTORIAL,course,FING,10
1063,CALCULO VECTORIAL,exam,FING,10
1064,INT. A LAS ECUACIONES DIFERENCIALES,course,FING,10
1064,INT. A LAS ECUACIONES DIFERENCIALES,exam,FING,10
1151,FISICA 1,course,FING,10
1151,FISICA 1,exam,FING,10
1158,PROCESAMIENTO CUANTICO DE LA INFORMACION,course,FING,10
1213,PLANIFICACION DE CLASES: DISEÑO DE UNID.DIDACT.,course,FING,2
1223,"CIENCIA, TECNOLOGIA Y SOCIEDAD",exam,FING,8
1271,CIUDADANIA EN ENTORNOS DIGITALES,course,FING,8
1275,TALLER BASICO DE ESTRATEGIAS Y ORIENTACION (TBEO),,FING,3
1316,INT. A LA COMPUTACION GRAFICA,course,FING,10
1325,TEORIA DE LENGUAJES,course,FING,12
1443,ARQUITECTURA DE COMPUTADORAS,course,FING,12
1450,INT. A LA TEORIA DE LA INFORMACION,course,FING,8
1537,SISTEMAS OPERATIVOS,course,FING,12
1650,INT. A LA INVESTIGACION DE OPERACIONES,course,FING,10
1767,PRINC.Y FUND.DEL PROC.PERS.DE SOFTWARE,course,FING,7
1872,APLICACIONES DEL ALGEBRA LINEAL,course,FING,9
1886,TOPOLOGIA Y ANALISIS REAL,course,FING,10
1898,PROGRAMACIÓN MASIVAMENTE PARALELA EN PROCESADORES GRÁFICOS,course,FING,10
1911,FUNDAMENTOS DE BASES DE DATOS,course,FING,15
1944,ADMINISTRACION GENERAL PARA INGENIEROS,course,FING,5
1944,ADMINISTRACION GENERAL PARA INGENIEROS,exam,FING,5
1954,GESTION DE CALIDAD,course,FING,7
2040,INICIACION A LA PROD. AUDIOVIS. Y MULTIMEDIA,,FING,6
2041,METODOS NUMERICOS,,FING,10
2107A,TALLER DE COMUNICACIÓN ORAL Y ESCRITA,,FVET,1
2415,CODIGOS PARA CORRECCION DE ERRORES,course,FING,8
24CIA,COMUNICACIÓN E INTELIGENCIA ARTIFICIAL (PPP),,FIC,9
2512,DISEÑO LOGICO,course,FING,12
5005,TUTORIAS ENTRE PARES ACADEMICAS PROGRESA/FING,course,FING,8
558EU,EPISTEMOLOGÍA,,FQ,3
559EU,PROPIEDAD INTELECTUAL,course,FQ,3
736EU,BIOINFORMÁTICA,course,FQ,7
816EU,INGLES CIENTÍFICO,,FQ,4
836EU,BIONFORMÁTICA ESTRUCTURAL,course,FQ,7
A42,DISEÑO ORGANIZACIONAL,course,FCEA,10
A62,GESTIÓN DE LA INNOVACIÓN Y LA TECNOLOGÍA,course,FCEA,10
A62,GESTIÓN DE LA INNOVACIÓN Y LA TECNOLOGÍA,exam,FCEA,10
A65,INTRODUCCIÓN AL EMPRENDEDURISMO,course,FCEA,10
AL,GEOMETRÍA Y ÁLGEBRA LINEAL,,CUT,9
AT001,SENSIBILIZACIÓN E INTERCAMBIO PARA LA EQUIDAD,,FCIEN,2
C216,"EPISTEMOLOGIA, ETICA Y EDUCACION",,FHUM,8
CCT10,FÍSICA I,,CURE,14
CCT20,FÍSICA II,,CURE,14
D78A,"CIENCIA,TECNOLOGÍA, INNOVACIÓN, SOCIEDAD Y DESARROLLO",course,FCS,6
DMA01,CÁLCULO DIFERENCIAL E INTEGRAL EN UNA VARIABLE,,CURE,12
DMA02,MATEMÁTICA DISCRETA,,CURE,12
DMA03,GEOMETRÍA Y ÁLGEBRA LINEAL 1,,CURE,12
DMA04,GEOMETRÍA Y ALGEBRA LINEAL II,,CURE,12
DMA05,MATEMÁTICA INICIAL,,CURE,4
DMA06,CALCULO DIFERENCIAL E INTEGRAL EN VARIAS VARIABLES,,CURE,13
EPCN,ELEMENTOS DE PROGRAM Y CÁLCULO NUMÉRICO,course,CUT,6
ESII,ESTADÍSTICA II,,CUT,10
ESTAI,ESTADÍSTICA I,,CUT,10
FD1,ETICA I,,FHUM,13
I87,PROSPECTIVA ESTRATÉGICA: CON LA MIRADA EN EL FUTURO,course,FCEA,10
IE,INTRODUCCIÓN A LA ECONOMÍA,,CUT,10
INFU1,INGLES PARA FINES UNIVERSITARIOS I,course,FHUM,8
M001,DISEÑO Y ANALISIS DE EXPERIMENTOS,course,FAGRO,4
MC10,CÁLCULO I,,FCEA,10
MHC16,BIOQUÍMICA 1 (2020-2024),,FCIEN,13
MHC20,GENÓMICA (2021-2024),,FCIEN,10
MHC24,GENÉTICA GENERAL,,FCIEN,14
O1145,COMUNICACIÓN ESTRATÉGICA,course,FIC,9
O1145,COMUNICACIÓN ESTRATÉGICA,exam,FIC,9
O6211,TECNOLOGÍA DE MEDIOS AL SERVICIO DE LA PRESERVACIÓN DEL PATRIMONIO HISTÓRICO DOC,,FIC,8
O6521,TEORÍAS Y PRÁCTICAS DE LA ACCESIBILIDAD EN LA COMUNICACIÓN,,FIC,8
REF05,FÍSICA IA- LDI.CIOCT,course,CENURLN,4
RN115,ESTADÍSTICA I 2022,,CUR,10
RN252,FISICA 1 BIOCIENCIAS 2017,,CUR,12
RN253,FISICA 2 BIOCIENCIAS 2017,,CUR,12
S42,SOCIOLOGÍA DE LA EMPRESA Y MANAGEMENT,course,FCEA,10
S42,SOCIOLOGÍA DE LA EMPRESA Y MANAGEMENT,exam,FCEA,10
SO001,INTRODUCCIÓN A LA VIDA UNIVERSITARIA (IVU),,CURE,1
SRN10,ALGEBRA LINEAL II,course,CENURLN,12
SRN13,ECONOMÍA POLÍTICA,,CENURLN,10
SRN22,COMPRENSIÓN LECTORA DE INGLÉS,,CENURLN,8
SRN30,TALLER DE ROBÓTICA-CIO CT- INGBIOL,,CENURLN,2
V2110,TALLER DE ÉTICA,,FVET,2
